Location,Application,Treatment,Zone,Sample,Pollinator_category
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Squash
Wooster,Post,Conventional,4,2,Squash
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Squash
Wooster,Post,Conventional,4,1,Squash
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Sweat
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,2,Bumble
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Bumble
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Bumble
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,1,1,Sweat
Wooster,Post,Conventional,1,1,Honey
Wooster,Post,Conventional,1,1,Sweat
Wooster,Post,Conventional,1,1,Sweat
Wooster,Post,Conventional,1,3,Longhorn
Wooster,Post,Conventional,1,3,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Longhorn
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,3,1,Honey
Wooster,Post,Conventional,3,1,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,2,2,Bumble
Wooster,Post,Conventional,2,3,Honey
Wooster,Post,Conventional,2,1,Bumble
Wooster,Post,Conventional,2,1,Honey
Wooster,Post,Conventional,2,1,Bumble
Wooster,Post,Conventional,2,1,Honey
Wooster,Post,IPPM,1,1,Green Metallic Sweat
Wooster,Post,IPPM,1,1,Sweat
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Sweat
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Sweat
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Green Metallic Sweat
Wooster,Post,IPPM,2,1,Sweat
Wooster,Post,IPPM,2,1,Green Metallic Sweat
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Green Metallic Sweat
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Sweat
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,2,Green Metallic Sweat
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,3,2,Longhorn
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Sweat
Wooster,Post,IPPM,3,2,Longhorn
Wooster,Post,IPPM,3,2,Longhorn
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,3,Honey
Wooster,Post,IPPM,4,3,Honey
Wooster,Post,IPPM,4,3,Honey
Wooster,Post,IPPM,4,3,Squash
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Bumble
Wooster,Post,IPPM,2,1,Longhorn
Wooster,Post,IPPM,2,1,Longhorn
Wooster,Post,IPPM,2,1,Bumble
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,4,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,3,1,Bumble
Wooster,Post,IPPM,3,1,Sweat
Wooster,Post,IPPM,3,1,Honey
Wooster,Post,IPPM,2,2,Green Metallic Sweat
Wooster,Post,IPPM,2,2,Sweat
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,2,Honey
Wooster,Post,IPPM,2,2,Green Metallic Sweat
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,2,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Sweat
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Sweat
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Honey
Wooster,Post,IPPM,1,3,Longhorn
Wooster,Post,IPPM,1,3,Sweat
Wooster,Post,IPPM,1,3,Longhorn
Wooster,Post,IPPM,2,3,Green Metallic Sweat
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,2,3,Honey
Wooster,Post,IPPM,3,2,Sweat
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,3,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,4,2,Honey
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,3,3,Bumble
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,3,3,Bumble
Wooster,Post,IPPM,3,3,Honey
Wooster,Post,IPPM,4,3,Honey
Wooster,Post,IPPM,4,3,Honey
Wooster,Post,IPPM,4,3,Honey
Wooster,Post,IPPM,4,3,Honey
Wooster,Post,IPPM,4,3,Sweat
Wooster,Post,IPPM,4,4,Honey
Wooster,Post,IPPM,4,4,Honey
Wooster,Post,IPPM,4,4,Honey
Wooster,Post,IPPM,4,4,Honey
Wooster,Post,IPPM,4,4,Honey
Wooster,Post,IPPM,4,4,Honey
Wooster,Post,IPPM,4,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,3,4,Honey
Wooster,Post,IPPM,2,4,Sweat
Wooster,Post,IPPM,2,4,Honey
Wooster,Post,IPPM,2,4,Honey
Wooster,Post,IPPM,2,4,Sweat
Wooster,Post,IPPM,2,4,Honey
Wooster,Post,IPPM,2,4,Longhorn
Wooster,Post,IPPM,2,4,Honey
Wooster,Post,IPPM,1,4,Honey
Wooster,Post,IPPM,1,4,Honey
Wooster,Post,IPPM,1,4,Honey
Wooster,Post,IPPM,1,4,Honey
Wooster,Post,IPPM,1,4,Longhorn
Wooster,Post,IPPM,1,4,Honey
Wooster,Post,IPPM,1,4,Honey
Wooster,Post,IPPM,1,4,Honey
Wooster,Post,Conventional,1,1,Honey
Wooster,Post,Conventional,1,1,Sweat
Wooster,Post,Conventional,2,1,Bumble
Wooster,Post,Conventional,3,1,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Bumble
Wooster,Post,Conventional,2,2,Longhorn
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Squash
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,2,Bumble
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,3,Honey
Wooster,Post,Conventional,2,2,Bumble
Wooster,Post,Conventional,2,2,Bumble
Wooster,Post,Conventional,2,2,Bumble
Wooster,Post,Conventional,1,4,Honey
Wooster,Post,Conventional,1,4,Honey
Wooster,Post,Conventional,1,4,Sweat
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Bumble
Wooster,Post,Conventional,4,3,Bumble
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,2,3,Honey
Wooster,Post,Conventional,2,3,Longhorn
Wooster,Post,Conventional,2,3,Bumble
Wooster,Post,Conventional,2,3,Bumble
Wooster,Post,Conventional,3,3,Sweat
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Bumble
Wooster,Post,Conventional,2,4,Honey
Wooster,Post,Conventional,2,4,Honey
Wooster,Post,Conventional,3,4,Sweat
Wooster,Post,Conventional,2,4,Honey
Western,Post,Conventional,1,1,Honey
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,1,2,Sweat
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Sweat
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Striped Sweat
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,2,2,Squash
Western,Post,Conventional,2,2,Sweat
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,3,3,Longhorn
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,4,3,Honey
Western,Post,Conventional,4,3,Honey
Western,Post,Conventional,4,3,Honey
Western,Post,Conventional,4,3,Honey
Western,Post,Conventional,2,3,Honey
Western,Post,Conventional,2,3,Honey
Western,Post,Conventional,2,3,Honey
Western,Post,Conventional,4,4,Sweat
Western,Post,Conventional,4,4,Sweat
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,1,3,Honey
Western,Post,Conventional,1,3,Honey
Western,Post,Conventional,1,3,Striped Sweat
Western,Post,Conventional,1,3,Honey
Western,Post,Conventional,1,3,Striped Sweat
Western,Post,Conventional,1,3,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,1,4,Honey
Western,Post,Conventional,1,4,Honey
Western,Post,Conventional,1,4,Honey
Western,Post,Conventional,1,4,Sweat
Western,Post,Conventional,1,4,Honey
Western,Post,Conventional,2,4,Honey
Western,Post,Conventional,2,4,Honey
Western,Post,Conventional,2,4,Honey
Western,Post,Conventional,2,4,Honey
Western,Post,Conventional,2,4,Honey
Western,Post,Conventional,2,4,Honey
Western,Post,Conventional,2,4,Honey
Western,Post,IPPM,2,1,Longhorn
Western,Post,IPPM,2,1,Bumble
Western,Post,IPPM,3,1,Honey
Western,Post,IPPM,3,1,Longhorn
Western,Post,IPPM,3,1,Honey
Western,Post,IPPM,4,1,Honey
Western,Post,IPPM,4,1,Sweat
Western,Post,IPPM,4,1,Honey
Western,Post,IPPM,4,1,Honey
Western,Post,IPPM,3,2,Sweat
Western,Post,IPPM,3,2,Longhorn
Western,Post,IPPM,3,2,Honey
Western,Post,IPPM,3,2,Longhorn
Western,Post,IPPM,3,2,Honey
Western,Post,IPPM,4,2,Longhorn
Western,Post,IPPM,4,2,Honey
Western,Post,IPPM,4,2,Bumble
Western,Post,IPPM,4,3,Striped Sweat
Western,Post,IPPM,4,3,Sweat
Western,Post,IPPM,4,3,Longhorn
Western,Post,IPPM,4,3,Longhorn
Western,Post,IPPM,4,3,Longhorn
Western,Post,IPPM,1,1,Sweat
Western,Post,IPPM,2,2,Sweat
Western,Post,IPPM,3,3,Sweat
Western,Post,IPPM,4,4,Longhorn
Western,Post,IPPM,4,4,Longhorn
Western,Post,IPPM,4,4,Longhorn
Western,Post,IPPM,4,4,Sweat
Western,Post,IPPM,4,4,Striped Sweat
Western,Post,IPPM,3,4,Honey
Western,Post,IPPM,2,3,Bumble
Western,Post,IPPM,2,3,Longhorn
Western,Post,IPPM,1,2,Longhorn
Western,Post,IPPM,1,3,Sweat
Western,Post,IPPM,1,3,Longhorn
Western,Post,IPPM,2,4,Longhorn
Western,Post,IPPM,2,4,Longhorn
Western,Post,IPPM,2,4,Honey
Western,Post,IPPM,2,4,Honey
Western,Post,IPPM,1,1,Green Metallic Sweat
Western,Post,IPPM,1,1,Longhorn
Western,Post,IPPM,2,1,Longhorn
Western,Post,IPPM,2,1,Longhorn
Western,Post,IPPM,3,1,Longhorn
Western,Post,IPPM,3,1,Striped Sweat
Western,Post,IPPM,4,1,Striped Sweat
Western,Post,IPPM,3,2,Longhorn
Western,Post,IPPM,3,2,Longhorn
Western,Post,IPPM,2,2,Honey
Western,Post,IPPM,1,2,Bumble
Western,Post,IPPM,2,3,Sweat
Western,Post,IPPM,2,3,Green Metallic Sweat
Western,Post,IPPM,2,3,Squash
Western,Post,IPPM,2,3,Sweat
Western,Post,IPPM,2,3,Longhorn
Western,Post,IPPM,3,3,Sweat
Western,Post,IPPM,3,3,Sweat
Western,Post,IPPM,3,3,Sweat
Western,Post,IPPM,3,3,Sweat
Western,Post,IPPM,3,3,Longhorn
Western,Post,IPPM,4,2,Squash
Western,Post,IPPM,4,2,Sweat
Western,Post,IPPM,4,2,Sweat
Western,Post,IPPM,4,3,Sweat
Western,Post,IPPM,4,3,Sweat
Western,Post,IPPM,3,4,Honey
Western,Post,IPPM,3,4,Squash
Western,Post,IPPM,3,4,Honey
Western,Post,IPPM,1,3,Sweat
Western,Post,Conventional,1,1,Honey
Western,Post,Conventional,1,1,Honey
Western,Post,Conventional,1,1,Honey
Western,Post,Conventional,1,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,2,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Bumble
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Striped Sweat
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,3,1,Honey
Western,Post,Conventional,4,1,Striped Sweat
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,1,Bumble
Western,Post,Conventional,4,1,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,4,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,3,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,2,2,Honey
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,1,2,Honey
Western,Post,Conventional,2,3,Sweat
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,3,3,Honey
Western,Post,Conventional,4,3,Honey
Western,Post,Conventional,4,3,Honey
Western,Post,Conventional,4,3,Sweat
Western,Post,Conventional,4,3,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Longhorn
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Honey
Western,Post,Conventional,4,4,Longhorn
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Honey
Western,Post,Conventional,3,4,Sweat
Western,Post,Conventional,3,4,Sweat
Western,Post,Conventional,2,4,Honey
Western,Post,Conventional,2,4,Sweat
Western,Post,Conventional,1,3,Sweat
